c_Colonia,c_CodigoPostal,Nombre del asentamiento,,,,,,,,,
1817,97297,Emiliano Zapata Sur III,,,,,,,,,
1818,22215,Plaza España,,,,,,,,,
1818,25107,Valle Verde Sector II,,,,,,,,,
1818,30844,Ignacio Lopez Rayón,,,,,,,,,
1818,33495,La Trinidad,,,,,,,,,
1818,35945,El Puerto de La Palma,,,,,,,,,
1818,37640,Ibarra,,,,,,,,,
1818,40050,Río Balsas,,,,,,,,,
1818,43707,Acocul la Palma,,,,,,,,,
1818,47192,La Deportiva,,,,,,,,,
1818,52170,Real de San Jerónimo,,,,,,,,,
1818,60485,Barranquillas (Rincón de Barranquillas),,,,,,,,,
1818,62747,Ampliación Estrella,,,,,,,,,
1818,63534,Santa Cruz,,,,,,,,,
1818,67189,Colibrí 1,,,,,,,,,
1818,69802,Santa María Cuquila,,,,,,,,,
1818,74700,Teotlalco,,,,,,,,,
1818,76746,La Purísima,,,,,,,,,
1818,79325,El Orégano,,,,,,,,,
1818,82705,Ejidal,,,,,,,,,
1818,83907,Fundo Legal,,,,,,,,,
1818,86953,Quetzalcóalt,,,,,,,,,
1818,89730,Estación Manuel Centro,,,,,,,,,
1818,92770,CTM,,,,,,,,,
1818,97203,Francisco de Montejo II,,,,,,,,,
1819,22215,Plaza San Marcos,,,,,,,,,
1819,25100,Industrial Valle de Saltillo,,,,,,,,,
1819,30844,La Libertad,,,,,,,,,
1819,33485,Barbechitos,,,,,,,,,
1819,35947,El Floreño,,,,,,,,,
1819,37640,San Isidro,,,,,,,,,
1819,40023,San José,,,,,,,,,
1819,47192,Las Medinas,,,,,,,,,
1819,52170,Real San José,,,,,,,,,
1819,60468,El Palmito del Sur,,,,,,,,,
1819,62747,Ampliación Ignacio Zaragoza,,,,,,,,,
1819,63544,Santa Cruz,,,,,,,,,
1819,67189,Santa Elena,,,,,,,,,
1819,69803,San Miguel Del Progreso,,,,,,,,,
1819,74702,Achichipico,,,,,,,,,
1819,76746,La Ceja,,,,,,,,,
1819,79325,La Alameda,,,,,,,,,
1819,82706,Margarita,,,,,,,,,
1819,83960,Barrio Zaragoza,,,,,,,,,
1819,89746,San Antonio Rayón,,,,,,,,,
1819,97119,Gonzalo Guerrero,,,,,,,,,
1820,22225,Rodeo,,,,,,,,,
1820,25207,Valle Hermoso,,,,,,,,,
1820,33484,Coloradas de los Chávez,,,,,,,,,
1820,35950,Gral. Simón Bolívar,,,,,,,,,
1820,37640,San José del Torreón,,,,,,,,,
1820,40050,Vicente Guerrero 200,,,,,,,,,
1820,43623,San Nicolás el Chico,,,,,,,,,
1820,47192,Los Medina,,,,,,,,,
1820,62747,Los Cerritos,,,,,,,,,
1820,63548,Santa Cruz de Guaybel,,,,,,,,,
1820,67198,Acapulco,,,,,,,,,
1820,69804,Ojo de Agua,,,,,,,,,
1820,74703,Tlayehualco,,,,,,,,,
1820,79325,Del Pueblo,,,,,,,,,
1820,82703,Santa Cruz,,,,,,,,,
1820,83960,Infonavit San Javier,,,,,,,,,
1820,86484,Poblado C-20 Miguel Hidalgo y Costilla,,,,,,,,,
1820,93608,Cuauhtémoc,,,,,,,,,
1820,97256,Industrial Bridec,,,,,,,,,
1821,33484,Ranchería Guasachique,,,,,,,,,
1821,35974,Oriente Aguanaval,,,,,,,,,
1821,37641,Haciendita,,,,,,,,,
1821,40101,CERESO,,,,,,,,,
1821,43709,Santa María el Chico,,,,,,,,,
1821,47195,Presa de Barajas,,,,,,,,,
1821,60465,La Lagunilla,,,,,,,,,
1821,62747,Ampliación Santa Cruz,,,,,,,,,
1821,63544,Santa Gertrudis,,,,,,,,,
1821,67198,Carmen Serdán,,,,,,,,,
1821,69805,Joya Grande,,,,,,,,,
1821,74708,Tlaucingo,,,,,,,,,
1821,76756,El Pedregal,,,,,,,,,
1821,83960,Infonavit San Diego,,,,,,,,,
1821,86493,Zapotal 3ra. Sección,,,,,,,,,
1821,89736,Emiliano Zapata,,,,,,,,,
1821,92773,Chacoaco,,,,,,,,,
1821,97249,Jardines de Nueva Mulsay III,,,,,,,,,
1822,11520,Granada,,,,,,,,,
1822,22225,Anexa Porvenir,,,,,,,,,
1822,25225,Brisas Poniente,,,,,,,,,
1822,30843,20 de Noviembre,,,,,,,,,
1822,33483,El Manzano,,,,,,,,,
1822,35970,Dieciocho de Marzo,,,,,,,,,
1822,37641,La Tinaja,,,,,,,,,
1822,40054,Emilio Gonzalez,,,,,,,,,
1822,47190,San Ignacio Cerro Gordo Centro,,,,,,,,,
1822,52170,San Jerónimo,,,,,,,,,
1822,60470,Apo,,,,,,,,,
1822,62747,Los Amates,,,,,,,,,
1822,63533,Santa Rosa,,,,,,,,,
1822,67190,Cerro de la Silla UC,,,,,,,,,
1822,69805,Llano de Guadalupe,,,,,,,,,
1822,74710,Huachinantla,,,,,,,,,
1822,76755,Las Villitas,,,,,,,,,
1822,79323,La Deportiva,,,,,,,,,
