municipality,state,description,start_date,end_date
015,MOR,Miacatlán,1/1/22,
015,NAY,Santiago Ixcuintla,1/1/22,
015,NLE,Doctor Coss,1/1/22,
015,OAX,Coatecas Altas,1/1/22,
015,PUE,Amozoc,1/1/22,
015,QUE,San Joaquín,1/1/22,
015,SIN,Salvador Alvarado,1/1/22,
015,SLP,Charcas,1/1/22,
015,SON,Bavispe,1/1/22,
015,TAB,Tacotalpa,1/1/22,
015,TAM,Gustavo Díaz Ordaz,1/1/22,
015,TLA,Ixtacuixtla de Mariano Matamoros,1/1/22,
015,VER,Angel R. Cabada,1/1/22,
015,YUC,Cuzamá,1/1/22,
015,ZAC,El Plateado de Joaquín Amaro,1/1/22,
016,COA,Lamadrid,1/1/22,
016,CHH,La Cruz,1/1/22,
016,CHP,Catazajá,1/1/22,
016,CMX,Miguel Hidalgo,1/1/22,
016,DUR,Nombre de Dios,1/1/22,
016,GRO,Coahuayutla de José María Izazaga,1/1/22,
016,GUA,Huanímaro,1/1/22,
016,HID,Cuautepec de Hinojosa,1/1/22,
016,JAL,Ayotlán,1/1/22,
016,MEX,Axapusco,1/1/22,
016,MIC,Coeneo,1/1/22,
016,MOR,Ocuituco,1/1/22,
016,NAY,Tecuala,1/1/22,
016,NLE,Doctor González,1/1/22,
016,OAX,Coicoyán de las Flores,1/1/22,
016,PUE,Aquixtla,1/1/22,
016,QUE,San Juan del Río,1/1/22,
016,SIN,San Ignacio,1/1/22,
016,SLP,Ebano,1/1/22,
016,SON,Benjamín Hill,1/1/22,
016,TAB,Teapa,1/1/22,
016,TAM,Hidalgo,1/1/22,
016,TLA,Ixtenco,1/1/22,
016,VER,La Antigua,1/1/22,
016,YUC,Chacsinkín,1/1/22,
016,ZAC,General Pánfilo Natera,1/1/22,
017,COA,Matamoros,1/1/22,
017,CHH,Cuauhtémoc,1/1/22,
017,CHP,Cintalapa,1/1/22,
017,CMX,Venustiano Carranza,1/1/22,
017,DUR,Ocampo,1/1/22,
017,GRO,Cocula,1/1/22,
017,GUA,Irapuato,1/1/22,
017,HID,Chapantongo,1/1/22,
017,JAL,Ayutla,1/1/22,
017,MEX,Ayapango,1/1/22,
017,MIC,Contepec,1/1/22,
017,MOR,Puente de Ixtla,1/1/22,
017,NAY,Tepic,1/1/22,
017,NLE,Galeana,1/1/22,
017,OAX,La Compañía,1/1/22,
017,PUE,Atempan,1/1/22,
017,QUE,Tequisquiapan,1/1/22,
017,SIN,Sinaloa,1/1/22,
017,SLP,Guadalcázar,1/1/22,
017,SON,Caborca,1/1/22,
017,TAB,Tenosique,1/1/22,
017,TAM,Jaumave,1/1/22,
017,TLA,Mazatecochco de José María Morelos,1/1/22,
017,VER,Apazapan,1/1/22,
017,YUC,Chankom,1/1/22,
017,ZAC,Guadalupe,1/1/22,
018,COA,Monclova,1/1/22,
018,CHH,Cusihuiriachi,1/1/22,
018,CHP,Coapilla,1/1/22,
018,DUR,El Oro,1/1/22,
018,GRO,Copala,1/1/22,
018,GUA,Jaral del Progreso,1/1/22,
018,HID,Chapulhuacán,1/1/22,
018,JAL,La Barca,1/1/22,
018,MEX,Calimaya,1/1/22,
018,MIC,Copándaro,1/1/22,
018,MOR,Temixco,1/1/22,
018,NAY,Tuxpan,1/1/22,
018,NLE,García,1/1/22,
018,OAX,Concepción Buenavista,1/1/22,
018,PUE,Atexcal,1/1/22,
018,QUE,Tolimán,1/1/22,
018,SIN,Navolato,1/1/22,
018,SLP,Huehuetlán,1/1/22,
018,SON,Cajeme,1/1/22,
018,TAM,Jiménez,1/1/22,
018,TLA,Contla de Juan Cuamatzi,1/1/22,
018,VER,Aquila,1/1/22,
018,YUC,Chapab,1/1/22,
018,ZAC,Huanusco,1/1/22,
019,COA,Morelos,1/1/22,
019,CHH,Chihuahua,1/1/22,
019,CHP,Comitán de Domínguez,1/1/22,
019,DUR,Otáez,1/1/22,
019,GRO,Copalillo,1/1/22,
019,GUA,Jerécuaro,1/1/22,
019,HID,Chilcuautla,1/1/22,
019,JAL,Bolaños,1/1/22,
019,MEX,Capulhuac,1/1/22,
019,MIC,Cotija,1/1/22,
019,MOR,Tepalcingo,1/1/22,
019,NAY,La Yesca,1/1/22,
019,NLE,San Pedro Garza García,1/1/22,
019,OAX,Concepción Pápalo,1/1/22,
019,PUE,Atlixco,1/1/22,
019,SLP,Lagunillas,1/1/22,
019,SON,Cananea,1/1/22,
019,TAM,Llera,1/1/22,
019,TLA,Tepetitla de Lardizábal,1/1/22,
019,VER,Astacinga,1/1/22,
019,YUC,Chemax,1/1/22,
019,ZAC,Jalpa,1/1/22,
020,COA,Múzquiz,1/1/22,
020,CHH,Chínipas,1/1/22,
020,CHP,La Concordia,1/1/22,
020,DUR,Pánuco de Coronado,1/1/22,
020,GRO,Copanatoyac,1/1/22,
020,GUA,León,1/1/22,
020,HID,Eloxochitlán,1/1/22,
020,JAL,Cabo Corrientes,1/1/22,
020,MEX,Coacalco de Berriozábal,1/1/22,
020,MIC,Cuitzeo,1/1/22,
020,MOR,Tepoztlán,1/1/22,
020,NAY,Bahía de Banderas,1/1/22,
020,NLE,General Bravo,1/1/22,
020,OAX,Constancia del Rosario,1/1/22,
020,PUE,Atoyatempan,1/1/22,
020,SLP,Matehuala,1/1/22,
020,SON,Carbó,1/1/22,
020,TAM,Mainero,1/1/22,
020,TLA,Sanctórum de Lázaro Cárdenas,1/1/22,
020,VER,Atlahuilco,1/1/22,
020,YUC,Chicxulub Pueblo,1/1/22,
020,ZAC,Jerez,1/1/22,
021,COA,Nadadores,1/1/22,
021,CHH,Delicias,1/1/22,
021,CHP,Copainalá,1/1/22,
021,DUR,Peñón Blanco,1/1/22,
021,GRO,Coyuca de Benítez,1/1/22,
021,GUA,Moroleón,1/1/22,
021,HID,Emiliano Zapata,1/1/22,
021,JAL,Casimiro Castillo,1/1/22,
021,MEX,Coatepec Harinas,1/1/22,
021,MIC,Charapan,1/1/22,
021,MOR,Tetecala,1/1/22,
021,NLE,General Escobedo,1/1/22,
021,OAX,Cosolapa,1/1/22,
021,PUE,Atzala,1/1/22,
021,SLP,Mexquitic de Carmona,1/1/22,
021,SON,La Colorada,1/1/22,
021,TAM,El Mante,1/1/22,
021,TLA,Nanacamilpa de Mariano Arista,1/1/22,
021,VER,Atoyac,1/1/22,
021,YUC,Chichimilá,1/1/22,
021,ZAC,Jiménez del Teul,1/1/22,
022,COA,Nava,1/1/22,
022,CHH,Dr. Belisario Domínguez,1/1/22,
022,CHP,Chalchihuitán,1/1/22,
022,DUR,Poanas,1/1/22,
022,GRO,Coyuca de Catalán,1/1/22,
022,GUA,Ocampo,1/1/22,
022,HID,Epazoyucan,1/1/22,
022,JAL,Cihuatlán,1/1/22,
022,MEX,Cocotitlán,1/1/22,
022,MIC,Charo,1/1/22,
022,MOR,Tetela del Volcán,1/1/22,
022,NLE,General Terán,1/1/22,
022,OAX,Cosoltepec,1/1/22,
022,PUE,Atzitzihuacán,1/1/22,
022,SLP,Moctezuma,1/1/22,
022,SON,Cucurpe,1/1/22,
022,TAM,Matamoros,1/1/22,
022,TLA,Acuamanala de Miguel Hidalgo,1/1/22,
022,VER,Atzacan,1/1/22,
022,YUC,Chikindzonot,1/1/22,
022,ZAC,Juan Aldama,1/1/22,
023,COA,Ocampo,1/1/22,
023,CHH,Galeana,1/1/22,
023,CHP,Chamula,1/1/22,
023,DUR,Pueblo Nuevo,1/1/22,
023,GRO,Cuajinicuilapa,1/1/22,
023,GUA,Pénjamo,1/1/22,
023,HID,Francisco I. Madero,1/1/22,
023,JAL,Zapotlán el Grande,1/1/22,
023,MEX,Coyotepec,1/1/22,
023,MIC,Chavinda,1/1/22,
023,MOR,Tlalnepantla,1/1/22,
023,NLE,General Treviño,1/1/22,
023,OAX,Cuilápam de Guerrero,1/1/22,
023,PUE,Atzitzintla,1/1/22,
023,SLP,Rayón,1/1/22,
023,SON,Cumpas,1/1/22,
023,TAM,Méndez,1/1/22,
023,TLA,Natívitas,1/1/22,
023,VER,Atzalan,1/1/22,
023,YUC,Chocholá,1/1/22,
023,ZAC,Juchipila,1/1/22,
024,COA,Parras,1/1/22,
024,CHH,Santa Isabel,1/1/22,
024,CHP,Chanal,1/1/22,
024,DUR,Rodeo,1/1/22,
024,GRO,Cualác,1/1/22,
024,GUA,Pueblo Nuevo,1/1/22,
024,HID,Huasca de Ocampo,1/1/22,
024,JAL,Cocula,1/1/22,
024,MEX,Cuautitlán,1/1/22,
024,MIC,Cherán,1/1/22,
024,MOR,Tlaltizapán de Zapata,1/1/22,
024,NLE,General Zaragoza,1/1/22,
024,OAX,Cuyamecalco Villa de Zaragoza,1/1/22,
024,PUE,Axutla,1/1/22,
024,SLP,Rioverde,1/1/22,
024,SON,Divisaderos,1/1/22,
024,TAM,Mier,1/1/22,
024,TLA,Panotla,1/1/22,
024,VER,Tlaltetela,1/1/22,
024,YUC,Chumayel,1/1/22,
024,ZAC,Loreto,1/1/22,
025,COA,Piedras Negras,1/1/22,
025,CHH,Gómez Farías,1/1/22,
025,CHP,Chapultenango,1/1/22,
025,DUR,San Bernardo,1/1/22,
025,GRO,Cuautepec,1/1/22,
025,GUA,Purísima del Rincón,1/1/22,
025,HID,Huautla,1/1/22,
025,JAL,Colotlán,1/1/22,
025,MEX,Chalco,1/1/22,
025,MIC,Chilchota,1/1/22,
025,MOR,Tlaquiltenango,1/1/22,
025,NLE,General Zuazua,1/1/22,
025,OAX,Chahuites,1/1/22,
025,PUE,Ayotoxco de Guerrero,1/1/22,
025,SLP,Salinas,1/1/22,
025,SON,Empalme,1/1/22,
025,TAM,Miguel Alemán,1/1/22,
025,TLA,San Pablo del Monte,1/1/22,
025,VER,Ayahualulco,1/1/22,
025,YUC,Dzán,1/1/22,
025,ZAC,Luis Moya,1/1/22,
026,COA,Progreso,1/1/22,
026,CHH,Gran Morelos,1/1/22,
026,CHP,Chenalhó,1/1/22,
026,DUR,San Dimas,1/1/22,
026,GRO,Cuetzala del Progreso,1/1/22,
026,GUA,Romita,1/1/22,
026,HID,Huazalingo,1/1/22,
026,JAL,Concepción de Buenos Aires,1/1/22,
026,MEX,Chapa de Mota,1/1/22,
026,MIC,Chinicuila,1/1/22,
026,MOR,Tlayacapan,1/1/22,
026,NLE,Guadalupe,1/1/22,
026,OAX,Chalcatongo de Hidalgo,1/1/22,
